"basin_id","PFAF_ID","region_name","upstream_area_km2","basin_area_km2","wetland_hex_count","wetland_area_hectares","total_carbon","protected_fraction","avg_ncp_score","norm_wetland_area","norm_carbon","protection_gap","composite_score","country","country_code"
6060036450,661002,"Magallanes and Chilean Antarctica Region",49115.8,49115.8,34017,2508167.29,50305952,0.289,0.63,1,1,0.711,0.835,"Chile","CL"
6060024060,661400,"Aysen del General Carlos Ibanez del Campo Region",29292.3,29292.3,25308,1866028.69,40006604,0.65,0.444,0.743980952721858,0.795265816657242,0.35,0.583,"Chile","CL"
6060025140,661700,"Aysen del General Carlos Ibanez del Campo Region",13028,13028,17374,1281032.97,29289888,0.357,0.578,0.510744628202212,0.582235040497792,0.643,0.578,"Chile","CL"
6060022920,661107,"Magallanes and Chilean Antarctica Region",24501.8,24501.8,25871,1907540.23,44721318,0.937,0.556,0.760531499475858,0.888986615341262,0.0629999999999999,0.567,"Chile","CL"
6060039730,661900,"Los Lagos Region",9812,9812,10034,739834.51,11770384,0.063,0.769,0.294970161260655,0.233975971670311,0.937,0.559,"Chile","CL"
6060025130,661600,"Aysen del General Carlos Ibanez del Campo Region",12294.2,12294.2,14788,1090360.05,22264746,0.147,0.475,0.43472381381706,0.442586714192388,0.853,0.551,"Chile","CL"
6060021950,661103,"Magallanes and Chilean Antarctica Region",26394,26394,21730,1602212.87,33232005,0.727,0.559,0.638798247783544,0.660597875177872,0.273,0.533,"Chile","CL"
6060026390,662105,"Los Ríos",1427.5,1427.5,357,26322.6,337804,0.003,1.053,0.0104947545185473,0.00671499070328696,0.997,0.517,"Chile","CL"
6060038660,661100,"Magallanes and Chilean Antarctica Region",19189.2,19189.2,16420,1210691.92,41324289,0.896,0.627,0.48269982820803,0.821459238063917,0.104,0.509,"Chile","CL"
6060026390,662105,"Araucania Region",1427.5,1427.5,432,31852.55,438122,0.002,1.016,0.0126995316967075,0.00870914837274126,0.998,0.509,"Chile","CL"
6060029280,671011,"Arica y Parinacota Region",4303.2,4303.2,33,2433.18,9,0.03,1.053,0.00097010275578548,1.78905271487557e-07,0.97,0.506,"Chile","CL"
6060027220,662520,"Valparaiso Region",13785.4,13785.3,26,1917.05,15100,0.038,1.053,0.000764323020893873,0.000300163288829123,0.962,0.504,"Chile","CL"
6060029250,662909,"Arica y Parinacota Region",786.9,786.9,28,2064.52,603,0.036,1.053,0.000823118939566427,1.19866531896663e-05,0.964,0.504,"Chile","CL"
6060028630,662707,NA,9369.6,9369.6,23,1695.85,1189,0.043,1.053,0.000676131136372486,2.36353741998561e-05,0.957,0.503,"Chile","CL"
6060026990,662400,"Maule Region",21105.1,21104.8,11359,837530.42,3336278,0.01,0.609,0.333921275243168,0.0663197468164403,0.99,0.5,"Chile","CL"
6060039730,661900,NA,9812,9812,17,1253.46,6241,0.059,1.053,0.000499751354304601,0.000124060866594871,0.941,0.499,"Chile","CL"
6060654380,664054,"Arica y Parinacota Region",9917.1,9916.7,144,10617.52,4659,0.007,0.999,0.00423317856122747,9.26132955400586e-05,0.993,0.499,"Chile","CL"
6060026140,662101,NA,3429.8,3429.8,15,1105.99,7176,0.067,1.053,0.000440955435632047,0.000142647136466079,0.933,0.497,"Chile","CL"
6060028120,662590,NA,10693.6,10693.6,15,1105.99,246,0.067,1.053,0.000440955435632047,4.89007742065989e-06,0.933,0.497,"Chile","CL"
6060026390,662105,NA,1427.5,1427.5,15,1105.99,5674,0.067,1.053,0.000440955435632047,0.000112789834491155,0.933,0.497,"Chile","CL"
6060026520,662109,NA,6749.1,6749.1,15,1105.99,5934,0.067,1.053,0.000440955435632047,0.000117958209000796,0.933,0.497,"Chile","CL"
6060028530,662705,NA,4018.8,4018.8,15,1105.99,396,0.067,1.053,0.000440955435632047,7.8718319454525e-06,0.933,0.497,"Chile","CL"
6060026760,662300,"Maule Region",15445.1,15445.1,844,62230.45,551094,0.011,0.958,0.0248111241415639,0.0109548468539071,0.989,0.496,"Chile","CL"
6060026520,662109,"Biobio Region",6749.1,6749.1,2257,166414.84,1919626,0.001,0.872,0.0663491788061712,0.038159023409397,0.999,0.494,"Chile","CL"
6060026110,661909,"Los Lagos Region",811.4,811.4,515,37972.37,472687,0.014,0.952,0.0151394885625831,0.00939624400707097,0.986,0.491,"Chile","CL"
6060028530,662705,"Antofagasta Region",4018.8,4018.8,275,20276.51,11185,0.058,1.012,0.00808419361852056,0.000222339495732036,0.942,0.491,"Chile","CL"
6060026140,662101,"Los Lagos Region",3429.8,3429.8,2537,187060.01,3028238,0,0.826,0.0745803562409109,0.0601964157243262,1,0.49,"Chile","CL"
6060026460,662107,"Araucania Region",671.8,671.8,492,36276.52,435279,0.002,0.933,0.0144633574262106,0.00865263418531469,0.998,0.489,"Chile","CL"
6060036010,661003,"Magallanes and Chilean Antarctica Region",12087.9,12087.9,14465,1066544.37,36350722,1,0.798,0.425228562007122,0.722592865353189,0,0.486,"Chile","CL"
6060029150,662903,"Tarapacа Region",1085,1085,72,5308.76,1545,0.014,0.94,0.00211658928061373,3.07120716053639e-05,0.986,0.482,"Chile","CL"
6060029180,662905,NA,2445.7,2445.7,8,589.86,130,0.125,1.053,0.00023517570074044,2.58418725482026e-06,0.875,0.482,"Chile","CL"
6060021560,653907,"Magallanes and Chilean Antarctica Region",4530,4530,1002,73880.23,526908,0.003,0.882,0.0294558621725746,0.0104740687543295,0.997,0.48,"Chile","CL"
6060024360,661505,"Aysen del General Carlos Ibanez del Campo Region",9864.9,9864.9,12728,938470.57,49267935,0.982,0.544,0.374165859566728,0.979365920756256,0.018,0.479,"Chile","CL"
6060027220,662520,"Santiago Metropolitan Region",13785.4,13785.3,261,19244.25,116169,0.05,0.953,0.00767263414873734,0.00230924960927089,0.95,0.478,"Chile","CL"
6060026300,662103,"Los Ríos",1887.7,1887.7,1064,78451.66,1186779,0.152,0.995,0.0312784798337754,0.0235912243545257,0.848,0.474,"Chile","CL"
6060029240,662908,"Arica y Parinacota Region",3389.7,3389.7,325,23963.15,5097,0.154,1.039,0.00955404772861064,0.000101320018752453,0.846,0.474,"Chile","CL"
6060028480,662703,"Atacama Region",762.9,762.9,56,4129.03,1213,0.179,1.053,0.00164623389215797,2.41124549238229e-05,0.821,0.469,"Chile","CL"
6060026520,662109,"Araucania Region",6749.1,6749.1,297,21898.63,240142,0.077,0.94,0.00873092878904421,0.00477362996728498,0.923,0.469,"Chile","CL"
6060041040,664026,"Antofagasta Region",9443.7,9443.7,65,4792.63,899,0.015,0.886,0.00191080954572213,1.78706487852571e-05,0.985,0.468,"Chile","CL"
6060026380,662104,"Los Ríos",10227.2,10227.2,6218,458470.3,6114395,0.329,0.884,0.182790957296951,0.121544166384129,0.671,0.465,"Chile","CL"
6060029180,662905,"Arica y Parinacota Region",2445.7,2445.7,146,10764.98,3677,0.007,0.863,0.00429197049292513,7.30927425844163e-05,0.993,0.465,"Chile","CL"
6060029050,662901,NA,5842.4,5842.4,25,1843.32,612,0.2,1.053,0.00073492705504504,1.21655584611539e-05,0.8,0.463,"Chile","CL"
6060029040,662801,"Tarapacа Region",35438.4,1296.1,29,2138.25,1715,0.034,0.881,0.00085251490541526,3.40913934001289e-05,0.966,0.462,"Chile","CL"
6060026290,662102,"Los Lagos Region",15088.8,15088.8,5993,441880.43,6770488,0.284,0.815,0.176176617788521,0.134586221527027,0.716,0.46,"Chile","CL"
6060026750,662200,"Biobio Region",24252.2,24251.9,4378,322802.02,4173257,0.224,0.826,0.128700354751855,0.0829575196191496,0.776,0.453,"Chile","CL"
6060029220,662906,"Arica y Parinacota Region",3279.2,3279.1,146,10764.98,1824,0.027,0.835,0.00429197049292513,3.62581350214782e-05,0.973,0.453,"Chile","CL"
6060843660,652906,"Atacama Region",5623.6,5623.6,4,294.93,81,0.25,1.053,0.00011758785037022,1.61014744338801e-06,0.75,0.451,"Chile","CL"
6060028300,662701,"Atacama Region",5988.3,5988.3,499,36792.65,12450,0.004,0.791,0.0146691371611022,0.000247485625557787,0.996,0.45,"Chile","CL"
6060021500,653904,"Magallanes and Chilean Antarctica Region",11378.8,11378.8,4371,322285.89,3743639,0,0.593,0.128494575016964,0.0744174168496006,1,0.449,"Chile","CL"
6060027770,662560,"Coquimbo Region",11698,11697.9,2204,162507,194139,0.026,0.754,0.0647911328115598,0.00385916561125809,0.974,0.449,"Chile","CL"
6060026380,662104,"Araucania Region",10227.2,10227.2,602,44387.12,450550,0.128,0.884,0.0176970332788289,0.00895619667430208,0.872,0.446,"Chile","CL"
6060040490,664041,"Antofagasta Region",48226,48226,89,6562.22,24,0.011,0.789,0.00261634063491834,4.77080723966818e-07,0.989,0.445,"Chile","CL"
6060023980,661200,"Aysen del General Carlos Ibanez del Campo Region",14020.2,14020.2,7466,550488.78,10114429,0.071,0.414,0.219478494195656,0.201058296242957,0.929,0.441,"Chile","CL"
6060749110,662806,"Antofagasta Region",1900.6,1900.4,358,26396.33,367,0.003,0.747,0.0105241504843961,7.29535940399259e-06,0.997,0.439,"Chile","CL"
6060027220,662520,"O'Higgins Region",13785.4,13785.3,5647,416368.89,1212985,0.043,0.595,0.166005230855235,0.0241121567483705,0.957,0.436,"Chile","CL"
6060029050,662901,"Tarapacа Region",5842.4,5842.4,759,55963.16,17151,0.001,0.718,0.0223123713570158,0.000340933812364787,0.999,0.435,"Chile","CL"
6060027000,662510,"Maule Region",11562.6,11562.6,4285,315944.88,1584027,0.023,0.605,0.125966430253542,0.0314878644976245,0.977,0.435,"Chile","CL"
