"basin_id","PFAF_ID","region_name","upstream_area_km2","basin_area_km2","wetland_hex_count","wetland_area_hectares","total_carbon","protected_fraction","avg_ncp_score","norm_wetland_area","norm_carbon","protection_gap","composite_score","country","country_code"
4060838850,452910,"Arunachal Pradesh",256374.3,21484.8,13882,1023558.17,16138869,0,0.801,0.329066514982108,1,1,0.783,"India","IN"
4060838850,452910,"South Tibet",256374.3,21484.8,13403,988240.18,15930818,0,0.8,0.317712037800344,0.987108700120188,1,0.776,"India","IN"
4060048470,446000,"Andaman and Nicobar Islands",8463.1,8463.1,7049,519742.22,14082290,0,0.914,0.167093347537311,0.872569818864011,1,0.738,"India","IN"
4060949680,452204,"Meghalaya",24059.9,24059.2,10281,758046.5,8537129,0,0.934,0.243706442155002,0.528979385110568,1,0.677,"India","IN"
4060835610,452802,"Arunachal Pradesh",12140.5,12140.5,11326,835097.24,13006787,0,0.627,0.268477695252022,0.805929275465338,1,0.675,"India","IN"
4060835610,452802,"South Tibet",12140.5,12140.5,10662,786138.68,12501877,0,0.606,0.252737873920966,0.77464393570578,1,0.658,"India","IN"
4060032880,455600,"Gujarat",29277.9,29277.9,22636,1669014.75,1348407,0,0.763,0.536576115880384,0.0835502785232348,1,0.596,"India","IN"
4060029870,454033,"Karnataka",31433.4,31433.4,16733,1233770.27,5971331,0.036,0.635,0.396648177833835,0.369996869049498,0.964,0.591,"India","IN"
4060836200,452604,"Arunachal Pradesh",8101.2,8101,6982,514802.13,7857501,0,0.673,0.165505144494588,0.486868131837491,1,0.581,"India","IN"
4060836200,452604,"South Tibet",8101.2,8101,6982,514802.13,7857501,0,0.673,0.165505144494588,0.486868131837491,1,0.581,"India","IN"
4060836210,452605,"South Tibet",17107.5,8236.2,6566,484129.3,7623611,0,0.689,0.155644052503364,0.472375790397704,1,0.579,"India","IN"
4060836210,452605,"Arunachal Pradesh",17107.5,8236.2,6566,484129.3,7623611,0,0.689,0.155644052503364,0.472375790397704,1,0.579,"India","IN"
4060729320,456428,"Jammu and Kashmir",49802.2,49802.2,8647,637567.17,3795874,0.01,0.867,0.20497321290387,0.235200744240504,0.99,0.574,"India","IN"
4060029530,454010,"Kerala",15114.4,15114.4,10737,791668.64,4234110,0.064,0.826,0.254515715882982,0.26235481556979,0.936,0.57,"India","IN"
4060872230,452596,"South Tibet",10841.9,10841.9,7377,543926.57,7381486,0,0.646,0.174868440350656,0.457373190153536,1,0.57,"India","IN"
4060865930,452700,"Assam",320576.3,22704.7,15155,1117419.97,2457594,0,0.737,0.359242401728191,0.152277957024126,1,0.562,"India","IN"
4060872230,452596,"Arunachal Pradesh",10841.9,10841.9,7026,518046.37,7090820,0,0.634,0.166548144083527,0.439362882244103,1,0.56,"India","IN"
4060865930,452700,"Arunachal Pradesh",320576.3,22704.7,3824,281954.07,3640292,0,0.884,0.0906461849646721,0.225560539589236,1,0.55,"India","IN"
4060878420,452478,"Madhya Pradesh",27780.1,27780.1,30700,2263595.73,451523,0,0.41,0.72772958101588,0.0279773632216731,1,0.541,"India","IN"
4060895600,452474,"Madhya Pradesh",44185,44184.5,40696,3000628.39,503276,0,0.15,0.964680226287162,0.0311840935074199,1,0.536,"India","IN"
4060030580,454035,"Maharashtra",25347.2,25347.2,17521,1291871.68,2575469,0.004,0.564,0.415327359012415,0.159581752599888,0.996,0.534,"India","IN"
4060884570,452580,"Assam",19705.7,19705.7,11976,883023.53,5106500,0,0.52,0.283885649278046,0.316410028484648,1,0.53,"India","IN"
4060870190,452598,"Nagaland",12780.1,12779.5,3287,242359.58,2539784,0,0.884,0.077916844103865,0.157370631114237,1,0.53,"India","IN"
4060729700,456460,"Himachal Pradesh",17156.5,17156.5,8034,592368.99,2296365,0.04,0.815,0.190442326421732,0.142287851769539,0.96,0.527,"India","IN"
4060030570,454034,"Karnataka",4775.6,4774.8,3369,248405.67,1273596,0,0.941,0.0798606181109331,0.0789148235852215,1,0.525,"India","IN"
4060911460,452461,"Uttar Pradesh",93854,11804.8,16117,1188350.89,14678,0,0.711,0.382046177158828,0.00090948132734704,1,0.523,"India","IN"
4060029810,454020,"Kerala",6376.9,6376.7,4017,296184.5,2187186,0.053,0.916,0.0952211648183299,0.135522879577249,0.947,0.523,"India","IN"
4061140230,453808,"Kerala",7074.5,7074.5,1092,80516.17,235677,0.001,1.045,0.0258853636639009,0.0146030679101491,0.999,0.521,"India","IN"
4061067580,453698,"Maharashtra",2948.5,2948.1,2370,174746.64,73574,0,1.016,0.0561797751364078,0.00455880768348761,1,0.519,"India","IN"
4060835750,452803,"Arunachal Pradesh",27677.7,1139,614,45271.91,195566,0.002,1.053,0.014554590141451,0.0121177016803346,0.998,0.519,"India","IN"
4060839030,452801,"Assam",41499,1681.2,453,33400.94,150191,0.002,1.053,0.0107381595351112,0.00930616637386424,0.998,0.518,"India","IN"
