"basin_id","PFAF_ID","region_name","upstream_area_km2","basin_area_km2","wetland_hex_count","wetland_area_hectares","total_carbon","protected_fraction","avg_ncp_score","norm_wetland_area","norm_carbon","protection_gap","composite_score","country","country_code"
4060005050,424200,"Gangwon State",25245.3,25245.3,8977,661898.98,2719734,0.246,0.883,0.797813719454394,1,0.754,0.859,"South Korea","KR"
4060003940,424102,"North Gyeongsang",23296.4,23296.4,11252,829641.01,1266503,0.092,0.178,1,0.465671642888606,0.908,0.638,"South Korea","KR"
4060004110,424105,"South Jeolla",7446.8,7446.8,9060,668018.8,1000731,0.329,0.601,0.805190187018359,0.367951792344398,0.671,0.611,"South Korea","KR"
4060004690,424109,"South Chungcheong",9033.5,9033.5,7778,573493.41,368187,0.042,0.621,0.691254895897685,0.135376106633958,0.958,0.601,"South Korea","KR"
4060004680,424108,"North Chungcheong",9776.8,9776.8,3933,289990.94,641605,0.269,0.808,0.349537856138524,0.235907261518957,0.731,0.531,"South Korea","KR"
4060005050,424200,"Gyeonggi",25245.3,25245.3,5669,417991.02,691925,0.454,0.801,0.503821550480008,0.254409070887079,0.546,0.526,"South Korea","KR"
4060005050,424200,"North Chungcheong",25245.3,25245.3,3691,272147.62,846176,0.137,0.577,0.328030577948407,0.311124543797298,0.863,0.52,"South Korea","KR"
4060003940,424102,"South Gyeongsang",23296.4,23296.4,6620,488110.87,696291,0.082,0.26,0.588339853161309,0.256014374935196,0.918,0.506,"South Korea","KR"
4060003940,424102,"Busan",23296.4,23296.4,31,2285.72,3110,0.032,1.053,0.00275507113612911,0.00114349417994554,0.968,0.506,"South Korea","KR"
4060004690,424109,"Seoul",9033.5,9033.5,25,1843.32,507,0.04,1.053,0.00222182845083803,0.000186415289142247,0.96,0.504,"South Korea","KR"
4060003950,424103,"South Gyeongsang",3303,3303,2630,193917.16,413896,0.165,0.77,0.233736227672738,0.152182529615029,0.835,0.498,"South Korea","KR"
4060004510,424107,"Jeonbuk State",5378.6,5378.6,5533,407963.36,289422,0.209,0.549,0.491734804671722,0.106415553874019,0.791,0.485,"South Korea","KR"
4060004680,424108,"South Chungcheong",9776.8,9776.8,3942,290654.54,213260,0.043,0.546,0.350337720166461,0.0784120800048828,0.957,0.483,"South Korea","KR"
4060004690,424109,"Gyeonggi",9033.5,9033.5,4695,346175.31,152488,0.022,0.482,0.417259158874029,0.0560672477529052,0.978,0.483,"South Korea","KR"
4060003020,424101,"Gangwon State",31197,31197,2427,178949.41,838123,0.228,0.591,0.215694990776794,0.308163592468969,0.772,0.472,"South Korea","KR"
4060004500,424106,"South Jeolla",2861.4,2860.9,2463,181603.79,172917,0.028,0.612,0.218894422781728,0.063578644087988,0.972,0.467,"South Korea","KR"
4060004680,424108,"North Gyeongsang",9776.8,9776.8,215,15852.54,18704,0.06,0.873,0.0191077102131198,0.00687714313237986,0.94,0.46,"South Korea","KR"
4060005050,424200,"Seoul",25245.3,25245.3,970,71520.78,35118,0.072,0.789,0.0862069005002537,0.0129122921579831,0.928,0.454,"South Korea","KR"
4060005090,424302,"Gyeonggi",8114.4,8114.4,2681,197677.53,337341,0.093,0.539,0.238268754337494,0.124034556320581,0.907,0.452,"South Korea","KR"
4060005060,424301,"Gyeonggi",388.2,388.2,650,47926.29,23505,0.065,0.739,0.0577675035615706,0.00864238929248228,0.935,0.435,"South Korea","KR"
4060003020,424101,"Busan",31197,31197,507,37382.51,44882,0.116,0.777,0.0450586573583194,0.0165023491267896,0.884,0.431,"South Korea","KR"
4060003020,424101,"North Gyeongsang",31197,31197,2779,204903.34,416299,0.106,0.304,0.24697831656128,0.15306607190262,0.894,0.4,"South Korea","KR"
4060004100,424104,"South Jeolla",4833,4833,2013,148424.05,288552,0.203,0.474,0.178901534773456,0.106095669650047,0.797,0.389,"South Korea","KR"
4060034010,424100,"Jeju",1936,1936,1700,125345.69,227842,0.068,0.358,0.151084250283144,0.0837736337450648,0.932,0.381,"South Korea","KR"
4060003950,424103,"Busan",3303,3303,301,22193.56,15545,0.156,0.644,0.0267507991197301,0.0057156324846474,0.844,0.38,"South Korea","KR"
4060004100,424104,"South Gyeongsang",4833,4833,437,32221.22,78342,0.057,0.436,0.0388375449280165,0.0288050228441458,0.943,0.362,"South Korea","KR"
4060004100,424104,"Jeonbuk State",4833,4833,1884,138912.52,193637,0.117,0.315,0.16743690141354,0.0711970361807441,0.883,0.359,"South Korea","KR"
4060004680,424108,"Jeonbuk State",9776.8,9776.8,1612,118857.21,209145,0.243,0.453,0.143263421850374,0.0768990643937973,0.757,0.358,"South Korea","KR"
4060004680,424108,"Sejong",9776.8,9776.8,615,45345.65,32460,0.01,0.367,0.0546569533731222,0.0119349907012965,0.99,0.356,"South Korea","KR"
4060004690,424109,"Incheon",9033.5,9033.5,1844,135963.21,150439,0.043,0.183,0.163881978302881,0.055313865252999,0.957,0.34,"South Korea","KR"
