"basin_id","PFAF_ID","region_name","upstream_area_km2","basin_area_km2","wetland_hex_count","wetland_area_hectares","total_carbon","protected_fraction","avg_ncp_score","norm_wetland_area","norm_carbon","protection_gap","composite_score","country","country_code"
4060021590,444077,"Phang-nga Province",16587.4,16587.4,3326,245235.16,4624243,0.187,0.76,0.391893487115944,1,0.813,0.741,"Thailand","TH"
4060018990,444035,"Nakhon Si Thammarat Province",8549.8,8549.8,6852,505216.87,2442041,0.154,0.762,0.807352424236812,0.528095301220113,0.846,0.736,"Thailand","TH"
4060019420,444037,"Yala Province",18525.5,18525.5,4614,340202.95,3516882,0.146,0.716,0.543654997931908,0.76053139940959,0.854,0.719,"Thailand","TH"
4060018970,444034,"Surat Thani Province",12876.3,12876.3,6981,514728.4,3331241,0.369,0.678,0.822552147879653,0.720386234027926,0.631,0.713,"Thailand","TH"
4060018360,444020,"Kanchanaburi Province",28650.9,28650.2,8487,625769.93,3349343,0.5,0.57,1,0.72430082069649,0.5,0.699,"Thailand","TH"
4060019420,444037,"Narathiwat Province",18525.5,18525.5,5033,371096.98,3205501,0.205,0.71,0.593024628076967,0.693194756417429,0.795,0.698,"Thailand","TH"
4060018230,443040,"Chachoengsao Province",22003.6,22003.5,5037,371391.91,518250,0.057,0.812,0.593495935479035,0.112072397579452,0.943,0.615,"Thailand","TH"
4060021590,444077,"Krabi Province",16587.4,16587.4,2514,185364.16,2643575,0.121,0.686,0.296217748909731,0.57167735346088,0.879,0.608,"Thailand","TH"
4060021590,444077,"Ranong Province",16587.4,16587.4,2324,171354.93,2801321,0.355,0.899,0.273830559419817,0.60579018014408,0.645,0.606,"Thailand","TH"
4060018230,443040,"Prachin Buri Province",22003.6,22003.5,4477,330101.57,1368072,0.143,0.721,0.527512675465246,0.295847774435729,0.857,0.6,"Thailand","TH"
4060021330,444075,"Satun Province",5736.5,5736.5,2383,175705.17,3005159,0.155,0.62,0.280782379556013,0.649870476097385,0.845,0.599,"Thailand","TH"
4060018420,444033,"Prachuap Khiri Khan Province",17191.3,17191.3,4475,329954.1,1417272,0.232,0.762,0.527277013774056,0.306487353713894,0.768,0.591,"Thailand","TH"
4061104190,443064,"Chiang Mai Province",46631.2,46631.2,4996,368368.87,1526022,0.224,0.565,0.588665022622611,0.330004716447643,0.776,0.565,"Thailand","TH"
