"basin_id","PFAF_ID","region_name","upstream_area_km2","basin_area_km2","wetland_hex_count","wetland_area_hectares","total_carbon","protected_fraction","avg_ncp_score","norm_wetland_area","norm_carbon","protection_gap","composite_score","country","country_code"
7060044360,732573,"Florida",10042.5,10042.5,13403,988240.18,104702831,0.49,0.853,0.38988277117564,1,0.51,0.688,"United States","US"
7060043860,732560,"Florida",24673.8,24673.4,28125,2073733.87,22062072,0.06,0.654,0.818134219068471,0.210711322600246,0.94,0.656,"United States","US"
7060057980,783700,"Alaska",16412.1,16412.1,23879,1760664.57,41228180,0.13,0.605,0.694621404345619,0.393763756015346,0.87,0.641,"United States","US"
7060468870,742954,"South Dakota",54224.2,54224.2,34377,2534711.08,19305736,0.116,0.367,1,0.184385998120719,0.884,0.609,"United States","US"
7060015100,783103,"Washington",18671.8,18671.8,16083,1185843.98,38421206,0.196,0.783,0.467841873323093,0.366954796093336,0.804,0.605,"United States","US"
7060044350,732572,"Florida",7573.4,7573.4,11360,837604.15,36521213,0.123,0.83,0.330453500838447,0.348808266702932,0.877,0.597,"United States","US"
7060356500,712269,"North Dakota",19111.5,19111.5,18435,1359263.43,8219300,0.036,0.801,0.536259710515015,0.0785012202774154,0.964,0.595,"United States","US"
7060392650,725810,"Michigan",184283.1,26693.7,30418,2242803.09,28089297,0.242,0.445,0.884835793592696,0.268276385000516,0.758,0.589,"United States","US"
7060715640,742308,"Mississippi",34327.8,34327,32998,2433033.61,15481275,0.067,0.292,0.959885972487247,0.147859182527739,0.933,0.583,"United States","US"
7060044770,732574,"Florida",17056.5,17056.3,24246,1787724.49,13163445,0.069,0.565,0.705297145740176,0.125721958750093,0.931,0.582,"United States","US"
7060276840,712242,"Ontario",51914.8,51914.8,63005,4645532.53,77840679,0.055,0.106,0.942299926187327,1,0.945,0.748,"Canada","CA"
7060022280,713300,"Manitoba",29723.3,29723.3,21125,1557604.55,67077695,0.209,0.905,0.315944543067067,0.861730599754917,0.791,0.718,"Canada","CA"
7060023960,713540,"Ontario",18593.5,18593.5,21558,1589530.84,70165077,0,0.573,0.322420472471534,0.901393434659017,1,0.699,"Canada","CA"
7060022280,713300,"Ontario",29723.3,29723.3,12950,954839.24,40191987,0,0.759,0.193679613599168,0.516336541720043,1,0.617,"Canada","CA"
8060155650,822240,"Northwest Territories",29372.1,29372.1,39873,2939946.33,45848079,0.051,0.335,0.596338781800265,0.588998960299408,0.949,0.617,"Canada","CA"
